;Tonalité min;Relative Maj;Fondamental ;Seconde MAJ 1T;3m 1,5T;Quarte juste 2,5T;5J 3,5T;6 M 4,5T;7M 5,5T;Octave 6.5T;
;;;1T 2M;0,5T 2m;1T  2M;1T  2M;1T 2M;1T 2M;1T 2M;;
Gamme min Harmo;C;E?//D#;C;D;E?//D#;F ;G;A ;B//C?;C;
;D;F ;D;E//F?;F ;G;A ;B//Cb;C#//D?;D;
;E;G;E;F#//G?;G;A;?;C#//D?;D#;E;
;F;A?/G#;F;G;A?/G#;B?//A#;C;D;E//F?;F;
;G;B?//A#;G;A ;Bb//A#;C;D;E//F?;F#//G?;G;
;A;C;A ;B//C?;C;D;E;F#;G#//A?;A ;
;B;D ;B;C#//D?;D ;E//F?;F#;G#//A?;A#//B?;B;
;F#;A ;F#;G#//A?;A ;B;C#;D#//E?;E#/F;F#;
;C#;E//F?;C#;D#;E//F?;F#//G?;G#;A#//B?;B#/C;C#;
;G#;B;G#;A#//B?;B;C#//D?;D#;E#/F;F##/G;G#;
;D#;F#//G?;D#;E#/F;F#//G?;G#//A?;A#;B#/C;C##/D;D#;
;A#;C#//Db;A#;B#/C;C#//D?;D#//E?;E#/F;G;A;A#;
;Mi#;A?/G#;E#/F;G;A?/G#;A#//B?;C;D;E;E#/F;
;B#;E?//D#;B#/C;D;E?//D#;E#/F;G;A;B//C?;B#/C;
;B?;D?//C#;B?;B#/C;D?//C#;D#//E?;F;G;A ;B?;
;E?;G?//F#;E?;E#/F;G?//F#;G#//A?;B?;B#/C;D;E?;
;A?;C?//?;A?;A#//B?;C?//?;D?//C#;E?;F;G;A?;
;D?;F?/E;D?;D#;F?/E;G?//F#;A?;A#//B?;C;D?;
;G?;A;G?;G#//A?;A;B//C?;C#;E?//D#;F;G?;
;C?;E??//D;C?;C#//D?;E??//D;E//F?;F#;G#//A?;B?//A#;C?;
;F?;A??//G;F?/E;F#//G?;A??//G;A;B;D?//C#;D#//E?;F?/E;
; ;Degrés min;I m 7M;II dim 7;III 5# 7M;IVm 7;V 7;VI 7M;VII dim;;
;;;Tonique;Sutonique;Medidante;Sous dominante;Dominante;Sus-dominante;Sensible;;
