url;selector;notes ;Colonne1;tonalitÃ©;Colonne2
francis-cabrel/je-l-aime-a-mourir;Chords;C;C;;
francis-cabrel/je-l-aime-a-mourir;Chords;C/B;C,C/B;;
francis-cabrel/je-l-aime-a-mourir;Chords;G/D;C,C/B,G/D;;
francis-cabrel/je-l-aime-a-mourir;Chords;Am;C,C/B,G/D,Am;;
francis-cabrel/je-l-aime-a-mourir;Chords;Dm;C,C/B,G/D,Am,Dm;;
francis-cabrel/je-l-aime-a-mourir;Chords;F;C,C/B,G/D,Am,Dm,F;;
francis-cabrel/je-l-aime-a-mourir;Chords;G7;C,C/B,G/D,Am,Dm,F,G7;;
francis-cabrel/je-l-aime-a-mourir;Chords;E;C,C/B,G/D,Am,Dm,F,G7,E;;
francis-cabrel/je-l-aime-a-mourir;Chords;G;C,C/B,G/D,Am,Dm,F,G7,E,G;;
francis-cabrel/je-l-aime-a-mourir;Chords;Bâ™­;C,C/B,G/D,Am,Dm,F,G7,E,G,Bâ™­;;
francis-cabrel/je-l-aime-a-mourir;Key;;C,C/B,G/D,Am,Dm,F,G7,E,G,Bâ™­,;C;"1,""C,C/B,G/D,Am,Dm,F,G7,E,G,Bâ™­,"""
jeff-buckley/hallelujah;Chords;G;G;;
jeff-buckley/hallelujah;Chords;Em;G,Em;;
jeff-buckley/hallelujah;Chords;C;G,Em,C;;
jeff-buckley/hallelujah;Chords;D;G,Em,C,D;;
jeff-buckley/hallelujah;Chords;B7;G,Em,C,D,B7;;
jeff-buckley/hallelujah;Key;;G,Em,C,D,B7,;G;"1,""G,Em,C,D,B7,"""
jean-ferrat/la-montagne;Chords;G;G;;
jean-ferrat/la-montagne;Chords;Em;G,Em;;
jean-ferrat/la-montagne;Chords;C;G,Em,C;;
jean-ferrat/la-montagne;Chords;D;G,Em,C,D;;
jean-ferrat/la-montagne;Chords;Am;G,Em,C,D,Am;;
jean-ferrat/la-montagne;Chords;D7;G,Em,C,D,Am,D7;;
jean-ferrat/la-montagne;Chords;Bm;G,Em,C,D,Am,D7,Bm;;
jean-ferrat/la-montagne;Chords;G7;G,Em,C,D,Am,D7,Bm,G7;;
jean-ferrat/la-montagne;Key;;G,Em,C,D,Am,D7,Bm,G7,;G;"1,""G,Em,C,D,Am,D7,Bm,G7,"""
vianney/beau-papa;Chords;Am;Am;;
vianney/beau-papa;Chords;Dm7;Am,Dm7;;
vianney/beau-papa;Chords;G;Am,Dm7,G;;
vianney/beau-papa;Chords;Em;Am,Dm7,G,Em;;
vianney/beau-papa;Chords;F;Am,Dm7,G,Em,F;;
vianney/beau-papa;Chords;Dm;Am,Dm7,G,Em,F,Dm;;
vianney/beau-papa;Key;;Am,Dm7,G,Em,F,Dm,;A;"1,""Am,Dm7,G,Em,F,Dm,"""
nino-ferrer/le-sud;Chords;C;C;;
nino-ferrer/le-sud;Chords;Em/B;C,Em/B;;
nino-ferrer/le-sud;Chords;Am;C,Em/B,Am;;
nino-ferrer/le-sud;Chords;C/G;C,Em/B,Am,C/G;;
nino-ferrer/le-sud;Chords;D7/Fâ™¯;C,Em/B,Am,C/G,D7/Fâ™¯;;
nino-ferrer/le-sud;Chords;Fm;C,Em/B,Am,C/G,D7/Fâ™¯,Fm;;
nino-ferrer/le-sud;Chords;F;C,Em/B,Am,C/G,D7/Fâ™¯,Fm,F;;
nino-ferrer/le-sud;Chords;Em;C,Em/B,Am,C/G,D7/Fâ™¯,Fm,F,Em;;
nino-ferrer/le-sud;Chords;C7;C,Em/B,Am,C/G,D7/Fâ™¯,Fm,F,Em,C7;;
nino-ferrer/le-sud;Chords;Am7/G;C,Em/B,Am,C/G,D7/Fâ™¯,Fm,F,Em,C7,Am7/G;;
nino-ferrer/le-sud;Chords;D/Fâ™¯;C,Em/B,Am,C/G,D7/Fâ™¯,Fm,F,Em,C7,Am7/G,D/Fâ™¯;;
nino-ferrer/le-sud;Chords;D4/G;C,Em/B,Am,C/G,D7/Fâ™¯,Fm,F,Em,C7,Am7/G,D/Fâ™¯,D4/G;;
nino-ferrer/le-sud;Chords;D/A;C,Em/B,Am,C/G,D7/Fâ™¯,Fm,F,Em,C7,Am7/G,D/Fâ™¯,D4/G,D/A;;
nino-ferrer/le-sud;Chords;D/B;C,Em/B,Am,C/G,D7/Fâ™¯,Fm,F,Em,C7,Am7/G,D/Fâ™¯,D4/G,D/A,D/B;;
nino-ferrer/le-sud;Chords;Dm7/C;C,Em/B,Am,C/G,D7/Fâ™¯,Fm,F,Em,C7,Am7/G,D/Fâ™¯,D4/G,D/A,D/B,Dm7/C;;
nino-ferrer/le-sud;Chords;Dm7;C,Em/B,Am,C/G,D7/Fâ™¯,Fm,F,Em,C7,Am7/G,D/Fâ™¯,D4/G,D/A,D/B,Dm7/C,Dm7;;
