Column1;Id;Mode;url;selector;chords;key;mode2
2;2XK2R8ElT2woHH2tfn6PgJ;1;francis-cabrel/je-l-aime-a-mourir;Key;C,C/B,G/D,Am,Dm,F,G7,E,G,B♭,;C;
3;3pRaLNL3b8x5uBOcsgvdqM;1;jeff-buckley/hallelujah;Key;G,Em,C,D,B7,;G;
4;1IsYgxPzYd4cBB2qMGZ1mG;1;jean-ferrat/la-montagne;Key;G,Em,C,D,Am,D7,Bm,G7,;G;
5;5wXkbtZO1HsOQ1P75zi35p;0;vianney/beau-papa;Key;Am,Dm7,G,Em,F,Dm,;A;
6;7zjkSx1EUums3s1Yg2jPJD;1;nino-ferrer/le-sud;Key;C,Em/B,Am,C/G,D7/F♯,Fm,F,Em,C7,Am7/G,D/F♯,D4/G,D/A,D/B,Dm7/C,Dm7,Dm7/G,;C;
7;3XX50UIL2zVfEHtdwfYwUV;1;francis-cabrel/la-corrida;Key;Dm,F,C,B♭2,C2,D4,A,A4,;B;
8;2o0hVSbnkdvDDKKVNaUxnB;0;charles-aznavour/la-boheme;Key;Dm,Bm7(♭5),Am,Dm7,E9,Am7,E7,A7,Dm7/4,Dm9,;A;
9;1ajs3fgX3aw3c405CnTbDn;0;patrick-bruel/encore-une-fois;Key;B4,B,E,A,C♯m,F♯m,Amaj7,F♯m9,B6,G♯4,G♯,;E;
10;6GKfnB8wQhmCqsHmgDAkN4;0;patrick-bruel/casser-la-voix;Key;C,G,Dm,F,;C;
11;5eR2nXypdozpX6Idt1Whp2;1;charles-aznavour/ave-maria;Key;E7,Am,C,Em,Gm,A7,Dm,Fm,B♭7,E♭,Cm,G7,B7,A(sus4),E,D♯7(dim),E(sus4),F,G,B(aug),A,G4,A♭,D7,;C;
12;6ixKI6i2vg8mTVtdzsGHYD;1;vianney/pour-de-vrai;Key;D,Bm,G,A,;D;
13;7eJdx83TiKsVqAzLFBelMO;1;renaud/manhattan-kaboul;Key;Em,Em/D,Em/C,Em/B,Am,F,Dm,E,G,C,E7,E/D,E/C,E/B,;A;
14;2y31xdqCINOlMWeR7sfR23;1;sheila/les-rois-mages;Key;D,G,A,Em/B,;D;
15;2M1EBFNZjVRJPp5OKEhzAo;0;claudio-capeo/c-est-une-chanson;Key;Em,Am,B7,E,D,;G;
16;4MgWVTHzP4EPdqmZfcTZ7e;0;calogero/c-est-dit;Key;Bm,Em,A7,B♭(dim),Gmaj7,Em7,Dmaj7,F♯4,Cm,Fm,B♭7,B(dim),A♭maj7,Fm7,E♭maj7,G4,G,;B;
17;5ArboR4WpgNf6bClJA8Xiw;1;yves-duteil/prendre-un-enfant;Key;C,G7,C7,F,;C;
18;7EZC6E7UjZe63f1jRmkWxt;1;the-cranberries/zombie;Key;G,D/F♯,Em,C,;D;
19;1jL4dBrmBpkAwxiMFzHulz;1;laurent-voulzy/rock-collection;Key;Am,Dm7,E,F,E7,A,F♯m,Dm,D9,G,D,C,Fmaj7,;A;
20;64bx1Oh15swJ8Y4n0Wpzya;0;lucienne-delyle/mon-amant-de-saint-jean;Key;Cm,Fm,G♯,G,G7,D♯,;C;
21;6Uu2CV7E071W7xrO05wbnz;0;marc-lavoine-madimmi/la-fin-d%E2%80%99une-histoire;Key;Am,A2,Dm,G7,Em,F,G,E4,E7,;A;
22;1jZoQ2R3wgs1UbOhio9j8I;1;the-white-buffalo-the-forest-rangers/come-join-the-murder;Key;Am,F,C,Em,G,Dm,;C;
23;2BrJg75S0TwdEpw2L0SrJH;1;francis-cabrel/repondez-moi;Key;D,D9,Bm,B9,A,A9,G,C,Gm,B♭,;D;
24;54q0j915jG5varqMxKkDDn;1;georges-chelon/quand-tu-me-serres-dans-tes-bras;Key;D,A,E7,E,F♯m,;A;
25;5xacwJHf9yLJKCn5JjSiRz;1;hugues-aufray/santiano;Key;Em,D,Am,;E;
26;3LgrzjwX7RVTtAX9Ai12Qm;0;trois-cafes-gourmands/a-nos-souvenirs;Key;Am,F,C,G,;A;
27;3sJ2GFYuO9CnsKEzzKXe7q;1;telephone/la-bombe-humaine;Key;A,A(aug),F♯m,A7,D,F,B7,D7,F7,Dm/A,G,F♯,F/A,;F;
28;3SdTKo2uVsxFblQjpScoHy;1;ben-e-king/stand-by-me;Key;A,F♯m,D,E,;A;
29;6RKuyWarJu8SMrflntmyXx;0;edith-piaf/la-vie-en-rose;Key;F,F♯7(dim),Gm7,G♯7(dim),Cm6,D7,C♯maj7,C7,Fmaj7,F6,F7(dim),Am7,Cm7,F7,B♭maj7,B♭m6,G7,B♭m(maj7),C,B♭7(dim),C♯,;F;
30;1Ga82E263Zun2GscO1jn4H;1;yves-montand/la-chansonnette;Key;C,D♯(dim),Dm7,G,G7,C7,F,Fm,C/E,E♭(dim),C♯(dim),Dm,;C;
31;1bKQ48M9onID2kbSpRy8kK;1;scorpions/send-me-an-angel;Key;Em,Cmaj7,D,Bm,C,F♯m,E,C♯m,G♯m,F♯,D♯m,;E;
32;3iB8eciGU9vZkaDYkz7Ir9;0;gipsy-kings/bamboleo;Key;Em,B7,Em6/9,Am,Am7,D7,Gmaj7,C,;E;
33;2rkw1gqH62Tc9ydm9jsEJ1;0;daniel-balavoine/tous-les-cris-les-sos;Key;Am7,F,G,Em,G7,C,Am,Fmaj9,Dm,E4,E,;A;
34;5UealtlhRRFtE5eguXZgjJ;1;maxime-le-forestier/je-veux-quitter-ce-monde-heureux;Key;C,D,G,Em,B7,D7,;G;
35;0vg4WnUWvze6pBOJDTq99k;0;james-blunt/you-re-beautiful;Key;C,G,Am,F,G/B,;C;
36;4qsVPnhbvEooD1bSNqvvh0;1;the-beatles/let-it-be;Key;C,G,Am,F,C/E,Dm7,B♭,F/A,;C;
37;0m6Tb3SwFzaEV5PcE2avp4;0;dalida/le-temps-des-fleurs;Key;Em,Am,B7,E7,F♯7,D7,G,;E;
38;3JtAx5DKZpTG17KhmcXqxi;1;carlos/juste-un-rigolo;Key;G,E7,Am7,D7,Gmaj9,G6,G(dim),Dm7,Am,Cm,Gmaj7,G7,F,F♯7,F7,E9,A9,D9,C,A7,F♯/G,;G;
39;7gHRVNiuL66Z6fE6DwZaFT;0;henri-salvador/jardin-d-hiver;Key;C♯7(♭9),F♯m7,C♯7,F♯m,Bm7,E9/B,Amaj7,;F;
40;3pFT1UfjSdKwjIS0tWg7ka;1;rocco-granata/marina;Key;C,G,Dm7,Dm,G7,;C;
41;4o9DSo7c1ICv4CtFWFSmGx;1;styx/boat-on-the-river;Key;Dm,C,A7,G,E,;D;
42;4ntaCVtTclqT43krz9n3Z9;0;cat-stevens/lady-d-arbanville;Key;Bm,Em,D,;E;
43;4VWbPQUPvLes814r6T11Jz;1;joe-dassin/les-champs-elysees;Key;G,D/F♯,Em,G7/D,C,G/B,A7,D7,B7,G7,B7/F♯,Am7,;G;
44;4a55yAvnmF3FEChGIpHL2x;0;folklore/aupres-de-ma-blonde;Key;C,Am,Em,A,Dm,G7,G,;C;
45;1JLTuO2CefNjGVLXjgFN8Y;0;yodelice/five-thousand-nights;Key;Am,C,Em,F,Dm,;A;
46;3XdJHWNbB74ef9lqF1838f;1;louis-jean-cormier/l%E2%80%99ironie-du-sort;Key;G(dim),F,Dm,B♭maj7,Am,B♭,C♯(dim),D,Gm,B♭m,;F;
47;0PHjhFcDWWtZeQBWC12V4l;0;eddy-mitchell/couleur-menthe-a-l-eau;Key;F,G(sus4),G,Am,Bm7,E,Fmaj7,Cmaj9/D,C,Cmaj7/B,C6/A,A,;A;
48;6scUEism6pBnY0IXYr8fw3;1;loudon-wainwright-iii/the-swimming-song;Key;G,D(sus2),Em,C,D7,;G;
49;0hoLCfOWVVxtgkkvydWMyk;0;thomas-fersen/louise;Key;Am,Dm,E7,G,C,;A;
50;40wZfOkrHWpHquMsml0Qi3;0;les-frangines/demain-des-l-aube;Key;Em,C,G,D,;E;
51;6mOdbqSh2fLyfVMudAqH3J;1;counting-crows/accidentally-in-love;Key;G,C,D,Em,A,Am,;C;
